question;subject;comment;longitudeETRSGK25;latitudeETRSGK25
Turvaton paikka;Liikaa ajoneuvoliikennettä;Liikaa ajoneuvoliikennettä;25496695,499804000;6672813,500000000
Meluisa paikka;Liikaa ajoneuvoliikennettä;Liikaa ajoneuvoliikennettä;25497378,500121000;6672709,500000000
Hankala kulkea jalan.;Todella sekava alua, lisää opasteita...;Todella sekava alua, lisää opasteita;25497458,500041000;6672741,500000000
Turvaton paikka;Liian suuret ajonopeudet;Liian suuret ajonopeudet;25496501,499998000;6672090,500000000
Hankala kulkea jalan.;Liikaa ajoneuvoliikennetta!;Liikaa ajoneuvoliikennetta!;25496707,499792000;6672236,500000000
Turvaton paikka;Uusi ympyrä Meilahdentie ja Paciuksenkatu:...;Uusi ympyrä Meilahdentie ja Paciuksenkatu: Tukholmankadun suunnalta tulevat jalankulkijat joutuvat Allergiasairaalan ajorampin alapuolella kävelemään koko suuren risteyksen yli ajoväylällä, koska jalkakäytävää ei ole tehty! Meilahden huvil;25494139,999859500;6675511,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Hyvä keskeinen aukio, mutta viihtyisyyttä...;Hyvä keskeinen aukio, mutta viihtyisyyttä voisi lisätä poistamalla asfalttikenttämäisyys ja korvata se hienolla laatoituksella josta muodostuisi omaperäinen isompi kuvio, sekä Kiasman takaseinän seutua voisi jollakin tavoin kehittää viihty;25496486,000013500;6673347,000000000
Virkistävä paikka;Kaunis paikka, mutta voisi kunnostaa...;Kaunis paikka, mutta voisi kunnostaa ja uudistaa kulkuväyliä, kaiteita yms..Pieni avoimmuuden lisääminen ranta-aluilla ei olisi pahitteeksi. Nykyisellään huvilat peittyvät liikaa puuston taakse.;25496482,000017500;6674395,000000000
Hankala kulkea jalan.;Ratikoiden reittimuutos on hankala jalankulkijoill...;Ratikoiden reittimuutos on hankala jalankulkijoille. Olisi parempi, jos tätä muutosta ei olisi tehty. Ahdas ja hankala.;25496982,000017500;6672898,500000000
Virkistävä paikka;Linnunlaulu on ihana paikka.;Linnunlaulu on ihana paikka.;25496552,999946500;6674224,500000000
Keskustan tinkimätön helmi;Pohjois Esplanadi on ehdottomasti yksi...;Pohjois Esplanadi on ehdottomasti yksi Helsingin upeimpia katuja, joka pääsisi oikeuksiinsa kunnolla vasta kävelykatuna.;25496946,000053500;6672763,000000000
Kehittämisideani tälle paikalle!;Katajanokan ranta-alueet on hyvä paikka...;Katajanokan ranta-alueet on hyvä paikka lisärakentamiselle.;25498533,999965500;6672436,200000000
Turvaton paikka;Kaisaniemen puistossa etenkin iltaisin...;Kaisaniemen puistossa etenkin iltaisin on turvattomuuden tunne. Puiston kuntoon laittaminen sekä valaistuksen lisääminen voisi parantaa tilannetta.;25496934,000065500;6673488,200000000
Virkistävä paikka;Vain karttamerkintä;;25498666,999832500;6672912,000000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25497412,000087500;6671391,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496424,500075000;6672499,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Mukava, kaunis, valoisa, keskellä kaupunkia...;Mukava, kaunis, valoisa, keskellä kaupunkia sijaitseva aukio, jossa voi vaikka pysähtyä rupattelemaan olematta kenenkään tiellä. Ratikkapysäkit, Stocka ja kaikkea muuta lähellä eikä liikenne tai mainoskyltit ole tukkimassa.;25496742,499757000;6672878,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496904,500095000;6672357,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25497110,499889000;6672729,500000000
Virkistävä paikka;Rauhallinen puisto aivan kaupungin sydämessä....;Rauhallinen puisto aivan kaupungin sydämessä. Mukava pysähtyä lepäämään tai piknikille. Syksyisin kaunis ruska, kesäisin vehreä. Ympäristön talot kauniita.;25496682,499817000;6672572,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;tänne pienet kaupunki festarit sopisivat...;tänne pienet kaupunki festarit sopisivat hyvin;25496488,500011000;6673352,500000000
Virkistävä paikka;rauhallinen;rauhallinen;25496771,000228500;6673801,500000000
Hankala kulkea jalan.;Jalankulkijan painajainen, yli kymmenkaistaisen...;Jalankulkijan painajainen, yli kymmenkaistaisen tien ylittämisen estäminen on viimeistelty verkkoaidalla. Tällainen kuuluisi Kehä III:n ulkopuolelle.  Tien yli pääsee, jos kiertää suojateiden ja liikennevalojen kautta ylimääräiset 5-10 min;25495139,499860000;6672383,500000000
Meluisa paikka;Vain karttamerkintä;;25496875,000124500;6672436,000000000
Kehittämisideani tälle paikalle!;kaupunki festareita ja enemmän tapahtumia...;kaupunki festareita ja enemmän tapahtumia tänne, laillinen graffiti aita tänne  ja samoin baanan alikulut jokon lailliset graffit seinät tai taide teoksia tylsii kohtiin.;25496475,000024500;6673408,000000000
Turvaton paikka;Vain karttamerkintä;;25496815,000184500;6673365,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496464,000035500;6673328,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496280,000219500;6673136,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496503,999995500;6673104,000000000
Hankala kulkea jalan.;Olisi hyvä ohjata pyöräilijät muuta...;Olisi hyvä ohjata pyöräilijät muuta kautta kun rautatieaseman ympäri. Tässä kohtaa liikkuu niin paljon sekä pyöräilijöitä että jalankulkijoita että on vaikea liikkua.;25496755,500244000;6673068,000000000
Kehittämisideani tälle paikalle!;Helsingissä on useita toreja, joilla...;Helsingissä on useita toreja, joilla ei ole varsinaista käyttötarkoitusta, vaan ne seisovat lähes ympäri vuoden vajaalla käytöllä. Rautatientori sijaitsee keskustassa, mutta silti tuntuu jäävän vähän keskustasta sivuun. Yksi syy lienee,;25496884,500115000;6673176,500000000
Kehittämisideani tälle paikalle!;Länsimetron valmistumisen myötä Kaivokadulla...;Länsimetron valmistumisen myötä Kaivokadulla ajettavat bussilinjat vähenevät tai poistuvat kokonaan. Kaivokadulle jää siis lisää tilaa muun liikenteen järjestelyjen kehittämiseen.  Tällä hetkellä Kaivokatu on ongelmallinen paikka jalank;25496754,000245500;6673062,500000000
Virkistävä paikka;Kaupunkipuisto joka kestäisi ympärillään...;Kaupunkipuisto joka kestäisi ympärillään vilkkaampaakin katuelämää. Lönnrotinkadun liikenne turhan aggressiivista.;25496679,999819500;6672555,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Toistaiseksi luonnonarvoja toteuttava...;Toistaiseksi luonnonarvoja toteuttava puisto, jota tulisi arvostaa juuri tuollaisena mikä se nyt on. Käsittämätöntä väittää että puisto olisi vajaa käytöllä sillä Töölönlahden ympäristö tarjoaa tuhansille ihmiselle paikan rauhoittu;25496167,999831500;6673979,000000000
Kehittämisideani tälle paikalle!;Musiikkitalo on pop. Ruotsinlaivat...;Musiikkitalo on pop. Ruotsinlaivat toimikoon varoittavana esimerkkinä miten kaupunkikuva voidaan tuhota. Saapuminen junalla Helsinkiin oli ennen juhlallinen tunnelma kun junan pysähtyessä näki eduskuntatalon ja muut nähtävyydet. Nykyään on ku;25496484,000015500;6673383,000000000
Meluisa paikka;Busseja vähemmäksi. Matalampi nopeusrajoitus....;Busseja vähemmäksi. Matalampi nopeusrajoitus.;25497211,999787500;6673463,000000000
Turvaton paikka;voisi opettaa bussikuskit ottamaan jalankulkjat...;voisi opettaa bussikuskit ottamaan jalankulkjat hyuomioon;25496904,000095500;6673215,000000000
Meluisa paikka;30km/h rajoitus + valvonta.;30km/h rajoitus + valvonta.;25497252,000247500;6674007,000000000
Virkistävä paikka;kaunis mesta, kiva kahvila;kaunis mesta, kiva kahvila;25496460,000039500;6674307,000000000
Kehittämisideani tälle paikalle!;Pohjois-eteläsuuntaiset (kävely)kadut...;Pohjois-eteläsuuntaiset (kävely)kadut ovat pimeitä. Itäspuolen rakennusten katolle voisi asentaa aurinkoheijastimia, jotka tuovat eloisaa valaistusta alas katutasolle ilman energiakustannuksia.;25496852,500147000;6672822,500000000
Hankala kulkea jalan.;Ison Roban jakeluliikenne on täysin...;Ison Roban jakeluliikenne on täysin holtitonta ja tekee kävelykadusta jalankulkijoille huonomman kuin perinteinen katu. Kadun keskellä voisi olla kapea, hidastettu yksisuuntainen ajokaista ja sarja lastauslevennyksiä 15min rajoituksella. Hitaita;25496700,499799000;6672228,500000000
Kehittämisideani tälle paikalle!;Puistomainen viherlinja ja kulkureitti...;Puistomainen viherlinja ja kulkureitti Töölönlahdelta keskuspuistoon tulee säilyttää. Talvipuutarhan näkymä töölönlahdelle ja keskustaan tulee turvata. Töölönlahden rantarakentamiselle ehdoton rakennuskielto. Ei asuntoja, hotelleja tai;25496156,999842500;6674832,000000000
Kehittämisideani tälle paikalle!;Tämä tontti on paras paikka monitoimijäähallil...;Tämä tontti on paras paikka monitoimijäähallille. En ymmärrä miksi sitä on toisaalle edes ajateltu. Vanha halli olisi helposti yhditettävissä tähän uuteen ja kaikki palvelut olisivat kompaktisti yhdessä paikassa. Tästä tulisi todellinen;25495784,000215500;6675259,000000000
Kehittämisideani tälle paikalle!;Mäntymäen alue tulee säilyttää...;Mäntymäen alue tulee säilyttää avoimena. Parkkipaikaa ei tule rakentaa umpeen. Olympiastadionilta tulee säilyttää näköyhteys töölönlahdelle. Kaupungissa tulee olla tilaa hengittää ja tämän alueen tyhjä tila on juuri sellaisena mitta;25496023,999975500;6674509,000000000
Kehittämisideani tälle paikalle!;Rakennetaan keskustatunneli ja tehdään...;Rakennetaan keskustatunneli ja tehdään ydinkeskustasta kävelykeskusta. Kuka viitsii istua Espan varrella ulkona (sään salliessa), kun autot jyräävät ohi.;25496800,000199500;6672748,200000000
Turvaton paikka;Autot pääsevät pysäköimään Narinkkatorille....;Autot pääsevät pysäköimään Narinkkatorille. Voiko tämän estää?;25496392,500107000;6673005,700000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kiva paikka ihmisiä istuskelee rauhallisesti...;Kiva paikka ihmisiä istuskelee rauhallisesti ja ohi voi kävellä ihmetellen vilskettä ja vilinää;25496401,750097700;6673361,500000000
Hankala kulkea jalan.;Mannerheimintien pyöräkaistat lähes...;Mannerheimintien pyöräkaistat lähes käyttökelvottomia. Liikaa jalankulkijoita -> vaaratilanteita.;25496632,499867000;6672881,700000000
Turvaton paikka;kaivokadun ylityksen helpottaminen;kaivokadun ylityksen helpottaminen;25496753,500246000;6673060,500000000
Hankala kulkea jalan.;pyörätie väärässä paikassa;pyörätie väärässä paikassa;25496778,500221000;6673064,500000000
Kehittämisideani tälle paikalle!;Töölönöahden ympäristö sopisi...;Töölönöahden ympäristö sopisi mielestäni erinomaisesti Kööpenhaminan Tivolin tapaiseksi alueeksi(ilman huvipuistoa luonnollisesti). Mutta siis vehreäksi virkistäytymisalueeksi, jossa tunnelmallista valaistusta ja pieniä kojuja, esimerkiks;25496485,750013700;6673845,500000000
Turvaton paikka;pyöräkaista puuttuu;pyöräkaista puuttuu;25496615,499884000;6673036,500000000
Turvaton paikka;pyöräkaista puuttuu kaivokadun eteläreunalta...;pyöräkaista puuttuu kaivokadun eteläreunalta;25496678,499821000;6673043,500000000
Turvaton paikka;pyöräkaista väärässä paikassa....;pyöräkaista väärässä paikassa. ajoin jalankulkijan päälle viimeksi eilen.;25496520,499979000;6673071,500000000
Turvaton paikka;pyöräkaista puuttuu katutasosta;pyöräkaista puuttuu katutasosta;25496425,500074000;6673221,500000000
Turvaton paikka;pyöräkaistassa pyöräilykelvoton...;pyöräkaistassa pyöräilykelvoton pinnoite;25496341,500158000;6673407,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;hyvät olosuhteet hengailulle (rakenteet,...;hyvät olosuhteet hengailulle (rakenteet, aurinko);25496415,500084000;6673323,500000000
Turvaton paikka;pyöräkaista puuttuu molemmin puolin...;pyöräkaista puuttuu molemmin puolin katua;25497132,999866500;6673269,000000000
Turvaton paikka;pyörätietä ei ole erotettu / merkitty...;pyörätietä ei ole erotettu / merkitty kunnolla;25496314,000185500;6673015,000000000
Turvaton paikka;pyöräkaista vastakkaiseen ajosuuntaan...;pyöräkaista vastakkaiseen ajosuuntaan tarpeellinen;25496226,999772500;6672769,000000000
Virkistävä paikka;Vain karttamerkintä;;25495041,999957500;6672787,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Sompasauna;Sompasauna;25498613,999885400;6673713,000000000
Hankala kulkea jalan.;Tungosta! Usein myös pysäköityjen...;Tungosta! Usein myös pysäköityjen autojen tukkima.;25496683,749815700;6672901,000000000
Turvaton paikka;Pyöräilijät ovat ongelma tässä...;Pyöräilijät ovat ongelma tässä paikassa. Eivät kunnioita jalankulkijoita yhtään, vaan ajavat usein suorastaan päälle. Pyöräilijöille pitäisi tehdä tähän kohtaan (ja muuallekin) liikennevalot yhteneväisesti autojen kanssa. Lisäksi p;25496930,000069500;6673100,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Eteläranta voisi olla kaupungin huomattavan...;Eteläranta voisi olla kaupungin huomattavan iltakäveleypaikka ja turistikatu katuravintoloineen. Siitä autot tulisi siirtää Unioninkadulle niin ettei niiden melu hairitse.;25497361,439638000;6672616,180000000
Hankala kulkea jalan.;Lasipalatsin edustan pyöräreitti ei...;Lasipalatsin edustan pyöräreitti ei erotu riittävän selkeästi ja on hankala pyöräilijöille s ekäjalankulkijoille.;25496536,749962700;6673032,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Pohjoisranta. Siitä avautuu hienot...;Pohjoisranta. Siitä avautuu hienot maisemat. Katu tulisi muuttaa 1+1 kaistaiseksi ja rantaan tulsi palauttaa sen alkuperäinen rantatorijärjestely sekä Meritullin tori liikennealueesta jalankulkuun.;25497829,559669900;6673125,820000000
Hankala kulkea jalan.;Ongelmana pyöräilijät. Pyöräilijöille...;Ongelmana pyöräilijät. Pyöräilijöille pitäisi saada omat liikennevalot suojateiden kohdille.;25496693,999805500;6672825,000000000
Hankala kulkea jalan.;Pyöräilijöille pitäisi saada tänne...;Pyöräilijöille pitäisi saada tänne omat liikennevalot kohtaan, jossa ylittävät jalankulkijoiden suojatien.;25496574,999924500;6672979,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Jotenkin suojaisa, intiimi ja mittakaavaltaan...;Jotenkin suojaisa, intiimi ja mittakaavaltaan ihmismäinen paikka;25496702,749796700;6672937,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Varsapuistoa tulisi kehittää tapaamispaikkana...;Varsapuistoa tulisi kehittää tapaamispaikkana sen loistavan sijainnin vuoksi, metroasemalta tulisi olla yhteys Liisankadun alkuun, sijoittuen Vanhan Klinikan muurin Liisankadun puolen muuriin ja niin että yläpuolelle sijoittuu kahvila / tapaamisp;25497195,959803500;6673406,420000000
Keskustan tinkimätön helmi;Tässä osassa kalevankatua todella...;Tässä osassa kalevankatua todella eloisa tunnelma, kävelykatu toimii ja terassot tuovat säpinää tielle:);25496640,249859200;6672775,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Hakaniemen tori ja ranta. Niiden sijainnin...;Hakaniemen tori ja ranta. Niiden sijainnin metron ja meren vuoksi. Torin sivuille ja hallin eteen tulisi luoda kahvila-alueet jotka voi olla auki iltaan asti. Nyt alue on täysin kuollut iltaisin. Hakaniemen rantaa kannattaisi suoristaa niin että si;25497347,039652400;6673972,340000000
Kehittämisideani tälle paikalle!;Helsingin parhaat rantapaikat ovat asfalttikenttä...;Helsingin parhaat rantapaikat ovat asfalttikenttää autoille. Voisivat olla jotain muuta.;25497419,750079700;6672625,000000000
Kehittämisideani tälle paikalle!;Helsingin keskeisimmät rannat ovat...;Helsingin keskeisimmät rannat ovat asfalttikenttää autoille. Voisivat olla jotain muutakin.;25497495,250004200;6672710,500000000
Kehittämisideani tälle paikalle!;Helsingin keskeisimmät rannat ovat...;Helsingin keskeisimmät rannat ovat asfalttikenttää autoille. Voisivat olla jotain muutakin.;25497426,250073200;6672467,000000000
Keskustan tinkimätön helmi;Pitkänsillanranta, siinä on lähes...;Pitkänsillanranta, siinä on lähes kaikki kunnossa. Alue on juuri sopivan suojainen.;25497050,759948700;6673826,260000000
Kehittämisideani tälle paikalle!;Vanhan Klinikan eli Valtiotieteellisen...;Vanhan Klinikan eli Valtiotieteellisen pihapuisto läpi tulisi olla julkiset kävely-yhteydet ja portti Liisankadulle niin, että sen puisto voi palvella alueella jalankulkua.;25497352,960146500;6673410,540000000
Keskustan tinkimätön helmi;Kaunis, mukava kävellä. Olisi vielä...;Kaunis, mukava kävellä. Olisi vielä parempi jos esim. pohjois-espakin olisi rauhoitettu moottoriliikenteeltä.;25497082,249917200;6672735,500000000
Keskustan tinkimätön helmi;Ehdottoman hyvin onnistunut kaupunkitila,...;Ehdottoman hyvin onnistunut kaupunkitila, miellyttävä kävellä ohitse tai istuskella viettämässä iltaa. Myös tilaa istuskella vaikkei olisi terasseilla, tämä ehdottomasti plussaa. Kiva myös että paikkoja skeittareille, nuorille, ja kaiken;25496217,249782200;6672927,000000000
Turvaton paikka;En tiedä. jotenkin epämiellyttävä...;En tiedä. jotenkin epämiellyttävä alue. Kauppakeskuksen edessä kerääntyy paljon porukkaa tupakalle, levoton meininki;25496389,750109700;6672976,500000000
Turvaton paikka;Koko aseman seutu  epämiellyttävää...;Koko aseman seutu  epämiellyttävää seutua. Mieluummin välttelen.;25496690,749808700;6673088,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kävelykatu on tosi kiva, voisi olla...;Kävelykatu on tosi kiva, voisi olla enemmänkin aktiviteettia:);25496822,250177200;6672314,000000000
Kehittämisideani tälle paikalle!;Mannerheimintien varsi Finlandia-talon...;Mannerheimintien varsi Finlandia-talon suuntaan on aika onneton. Voisiko kadun varteen vaikka rakentaa jotain?;25496246,499753000;6673632,500000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25496653,499846000;6672566,500000000
Virkistävä paikka;Koko ranta-alue on virkistävä ja miellyttävä....;Koko ranta-alue on virkistävä ja miellyttävä. Maisemat upeat. Autot voisi laittaa kulkemaan sisämaan kautta ja poistaa kokonaan rannasta, lisää tilaa esim. pyöräilijöille, kävelijöille, rullaluistelijoille;25496602,499897000;6671215,500000000
Kehittämisideani tälle paikalle!;Kauppatorilla on omituinen parkkialue...;Kauppatorilla on omituinen parkkialue rannassa. Rantaviiva tulisi suoristaa ja palauttaa torin ja Vironaltaan empireajan linjakkaat muodot ja näkymät. Torin sivulla autokaistat tulisi kaventaa 1+1 kaistaiseksi niin että kävelijä pyöräilijät j;25497495,200004300;6672706,700000000
Keskustan tinkimätön helmi;Bulevardi on mukava kaupunkikatu, vaikka...;Bulevardi on mukava kaupunkikatu, vaikka parannettavaakin siinä on (onnettomat pyöräkaistat..);25496439,500060000;6672340,500000000
Hankala kulkea jalan.;Kaisaniemenkadulla on jalkakäytävät...;Kaisaniemenkadulla on jalkakäytävät aivan liian kapeat. Niitä tulisi leventää ja muuttaa autokaistat 1+1 kaistaisiksi.;25497130,759868700;6673248,900000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kunnon mesta vetää. Ainakin kunnes...;Kunnon mesta vetää. Ainakin kunnes gentrifikaatio tuhoaa kaiken kauniin ja herkän.;25497544,499955000;6675060,500000000
Virkistävä paikka;Hermannin kätketty helmi. Toivottavasti...;Hermannin kätketty helmi. Toivottavasti kaupunki antaa itsejärjestäytyvän toiminnan jatkua ja jopa tukee sitä;25498288,000211500;6675491,000000000
Meluisa paikka;Terminaaleilta kompassitorille epämiellyttävää...;Terminaaleilta kompassitorille epämiellyttävää aluetta ja upean ranna tuhlausta. Autot voisi laittaa ajamaan sisämaan kautta ja levittää puiston rantaan saakka/ rakentaa rantabulevardin. Esim. Guangzhoussa Zhujian-joen rannalla rantabulevardi,;25497652,499847000;6671985,500000000
Kehittämisideani tälle paikalle!;Rantabulevardi ja autot pois, kts. muut...;Rantabulevardi ja autot pois, kts. muut kommentit;25497948,500050900;6671597,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Sompasauna, Ihana-kahvila, graffitiseinät....;Sompasauna, Ihana-kahvila, graffitiseinät. Jälleen yksi paikka jossa itsejärjestäytyvä toiminta osoittaa voimansa.;25498541,499958000;6674070,500000000
Keskustan tinkimätön helmi;Paasipuisto on esimerkki hyvästä kaupunkitilasta...;Paasipuisto on esimerkki hyvästä kaupunkitilasta, jossa kävely on helppoa ja ympäristö on kunnossa.;25497098,159901300;6673928,460000000
Turvaton paikka;Joo ei mikään miellyttävin paikka...;Joo ei mikään miellyttävin paikka hengailla;25497818,500181000;6675003,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kivaa urbaania boheemimpaa fiilistä,...;Kivaa urbaania boheemimpaa fiilistä, kapakoita ja kauppoja ja ravintoloita:) kävelykatu olis kiva taas!;25497566,499933000;6675057,000000000
Keskustan tinkimätön helmi;Harjutorin Sauna! Tarviiko sanoa enempää....;Harjutorin Sauna! Tarviiko sanoa enempää.;25497625,999873500;6674862,500000000
Hankala kulkea jalan.;Tässä kohdilla pyörätie ja jalkakäytävä...;Tässä kohdilla pyörätie ja jalkakäytävä menee ristiin ja meinaa tulla usein yhteentörmäyksiä...;25496874,250125200;6673075,000000000
Meluisa paikka;Hakaniemen silta ja sen raskas luo melua...;Hakaniemen silta ja sen raskas luo melua koko Siltavuoren lahdelle, joka voisi olla rauhallinen puistotila aivan Helsingin sydämmessä ja niin että salmen vesitila avautuu hienosti ilman esteitä Kruunuvuorenselälle. Silta tulisi uusia noin 150 m;25497646,320353100;6673847,420000000
Hankala kulkea jalan.;Baanalta tulevat pyörät jyrää välillä...;Baanalta tulevat pyörät jyrää välillä;25496453,250046200;6673316,000000000
Hankala kulkea jalan.;Hämeentie on kuollut ja ahdistava paikka...;Hämeentie on kuollut ja ahdistava paikka liiallisen liikenteen takia. Voisi olla todella kiva katu jos autoilu saataisiin kuriin.;25497729,999769500;6674555,500000000
Meluisa paikka;Hämeentiellä jalkakäytävät ovat...;Hämeentiellä jalkakäytävät ovat kapeat ja katu on nyt tavattoman meluisa vaikka se on asuntokatu. Sen jalkakäytävät tulisi leventää tehdä pyöräkaistat, puurivit ja kaventaa ajokaistat 1+1:een kaistaan.;25497378,600120900;6674223,320000000
Kehittämisideani tälle paikalle!;Hakaniemenrannassa on omituinen autoparkkialue...;Hakaniemenrannassa on omituinen autoparkkialue aivan rannassa ja ranta on ruman ryteikköinen. Ranta kannattaisi muuttaa suoraksi puistoalueeksi ja kävelypasaasiksi suoristaa sen ranta komeaksi kävelyrannaksi.;25497538,599960900;6673928,520000000
Meluisa paikka;Pohjoisesplanadi on autojen vuoksi liian...;Pohjoisesplanadi on autojen vuoksi liian meluisa. Unioninkadusta länteen katu kannattaisi muuttaa kävelyalueeksi ja rajoittaa autoja pois.;25497003,339996100;6672754,500000000
Meluisa paikka;Junatie ja Teollisuuskatu ovat aivan...;Junatie ja Teollisuuskatu ovat aivan liian meluisia. Autojen määrä ja vauhtia tulisi rajoittaa ja muutaa komea n 2 km katu Helsingin toiseksi esplandiksi jossa on mukava liikkua jalan ja viihtyä.;25498173,200326300;6675121,400000000
Kehittämisideani tälle paikalle!;Helsinginkadun länsipään ilme on...;Helsinginkadun länsipään ilme on heikko valtavan leveiden kaistojen vuoksi. Kadun ajokaistat tulisi muuttaa 1+1 kaistaisiki ja tehdä tilaa jalankululle pyöräilylle ja viihtymiselle.;25496685,800313700;6674801,400000000
Kehittämisideani tälle paikalle!;Haapaniemenkatu on nyt omitusen näköinen...;Haapaniemenkatu on nyt omitusen näköinen autoväylä. Sen kaistat kannattaisi muuttaa 1+1 kaistaisiksi ja tehdä leveät jalkakäytävät ja puurivit. Niin että kadusta voi kehittyä alueen tärkeä kävelyn ja viihtymien katu.;25497608,320391100;6674325,840000000
Kehittämisideani tälle paikalle!;Sörnäisten rantatien ilme on luotaantyötävä....;Sörnäisten rantatien ilme on luotaantyötävä. Sen katu tulisi sijoittaa julkisivua seuraten 1+1 tai 2+2 kaistaisena ja niin että rantaan mahtuu pitkä rantapuisto ja suora rantaa seuraava rantapasaasi joka yhdistää Kalasataman alueen houkuttel;25497943,120056300;6674459,000000000
Hankala kulkea jalan.;Mannerheimintien nopeusrajoitusta tulee...;Mannerheimintien nopeusrajoitusta tulee laskea Meilahteen asti. -> 40 km/h;25496119,999879500;6673851,000000000
Kehittämisideani tälle paikalle!;Kurvi on yksi Helsingin vilkkaimpia...;Kurvi on yksi Helsingin vilkkaimpia ja tärkeimpiä paikkoja, mutta ilme on nyt heikko. Jalkakäytäviä tulsii leventää ja luoda tilat katuterasseille. Metron sisäänkäytni rakennus Vaasantorin edestä tulisi purkaa ja kehittää Vaasantorista h;25497934,240065200;6675010,560000000
Meluisa paikka;Busseja pitäisi ohjata muillekin pohjoiseen...;Busseja pitäisi ohjata muillekin pohjoiseen meneville kaduille kuin Mannerheimintielle.;25496187,999811500;6673675,000000000
