Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
ALI,Asian and Pacific Islander,15117,62,41.9%,876,36079
SHIN,Asian and Pacific Islander,15028,63,94.8%,2099,15857
AHMED,Asian and Pacific Islander,14977,64,56.3%,1206,26607
YI,Asian and Pacific Islander,14494,65,95.0%,2189,15254
THAO,Asian and Pacific Islander,14483,66,93.7%,2153,15463
LAI,Asian and Pacific Islander,14283,67,92.2%,2148,15490
HSU,Asian and Pacific Islander,14150,68,95.4%,2254,14838
FONG,Asian and Pacific Islander,14090,69,84.8%,2002,16614
REYES,Asian and Pacific Islander,13997,70,6.0%,81,232511
SUN,Asian and Pacific Islander,13983,71,93.5%,2228,14962
CHOW,Asian and Pacific Islander,13924,72,89.0%,2124,15650
YOUNG,Asian and Pacific Islander,13745,73,2.9%,31,465948
LIANG,Asian and Pacific Islander,13581,74,96.4%,2353,14095
LO,Asian and Pacific Islander,13361,75,91.9%,2292,14534
HWANG,Asian and Pacific Islander,13151,76,96.6%,2435,13610
SANTOS,Asian and Pacific Islander,13077,77,13.2%,279,98993
CRUZ,Asian and Pacific Islander,12963,78,5.6%,82,231065
OH,Asian and Pacific Islander,12789,79,95.7%,2477,13366
SHARMA,Asian and Pacific Islander,12736,80,85.6%,2247,14870
CHAU,Asian and Pacific Islander,12460,81,94.1%,2498,13238
GARCIA,Asian and Pacific Islander,12274,82,1.4%,8,858289
HA,Asian and Pacific Islander,12189,83,93.8%,2558,12988
KUMAR,Asian and Pacific Islander,12170,84,83.8%,2293,14517
XU,Asian and Pacific Islander,12041,85,98.5%,2701,12228
DESAI,Asian and Pacific Islander,11976,86,91.7%,2540,13057
THOMAS,Asian and Pacific Islander,11584,87,1.6%,14,710696
HU,Asian and Pacific Islander,11515,88,95.5%,2747,12056
LUU,Asian and Pacific Islander,11459,89,95.8%,2768,11965
ZHOU,Asian and Pacific Islander,11350,90,98.0%,2839,11586
DINH,Asian and Pacific Islander,11308,91,95.5%,2792,11836
YOON,Asian and Pacific Islander,11045,92,95.5%,2848,11563
TRINH,Asian and Pacific Islander,11004,93,95.6%,2868,11507
TAM,Asian and Pacific Islander,10985,94,90.4%,2723,12150
LUONG,Asian and Pacific Islander,10771,95,96.0%,2951,11214
CHONG,Asian and Pacific Islander,10740,96,82.8%,2561,12976
CHIU,Asian and Pacific Islander,10522,97,92.9%,2920,11321
ZHENG,Asian and Pacific Islander,10495,98,98.4%,3111,10670
CAO,Asian and Pacific Islander,10410,99,93.7%,2986,11106
ZHU,Asian and Pacific Islander,10286,100,97.9%,3147,10508
WOO,Asian and Pacific Islander,10271,101,88.3%,2824,11628
ZHAO,Asian and Pacific Islander,10157,102,98.4%,3187,10324
JUNG,Asian and Pacific Islander,9941,103,57.1%,1896,17395
MAI,Asian and Pacific Islander,9855,104,81.9%,2752,12027
KO,Asian and Pacific Islander,9806,105,93.5%,3152,10483
RAMOS,Asian and Pacific Islander,9732,106,5.0%,112,193096
CHUN,Asian and Pacific Islander,9627,107,86.3%,2967,11154
HER,Asian and Pacific Islander,9550,108,91.5%,3159,10434
SMITH,Asian and Pacific Islander,9505,109,0.4%,1,2376206
KONG,Asian and Pacific Islander,9407,110,85.2%,3005,11040
GUPTA,Asian and Pacific Islander,9375,111,90.4%,3172,10376
YOO,Asian and Pacific Islander,9350,112,94.9%,3330,9853
DOAN,Asian and Pacific Islander,9322,113,58.6%,2094,15902
MOUA,Asian and Pacific Islander,9122,114,93.3%,3347,9776
KWON,Asian and Pacific Islander,9064,115,96.4%,3472,9405
PAK,Asian and Pacific Islander,9037,116,91.5%,3322,9877
DELACRUZ,Asian and Pacific Islander,8966,117,18.2%,629,49158
TSAI,Asian and Pacific Islander,8874,118,95.1%,3503,9332
MEHTA,Asian and Pacific Islander,8776,119,90.6%,3377,9691
MENDOZA,Asian and Pacific Islander,8765,120,5.2%,134,168567
TONG,Asian and Pacific Islander,8589,121,79.5%,3074,10809
JIANG,Asian and Pacific Islander,8388,122,97.7%,3791,8582
BAUTISTA,Asian and Pacific Islander,8341,123,22.0%,830,37847
SHEN,Asian and Pacific Islander,8238,124,93.3%,3690,8832
VUE,Asian and Pacific Islander,8010,125,93.9%,3822,8528
SU,Asian and Pacific Islander,7999,126,94.0%,3835,8507
THAI,Asian and Pacific Islander,7990,127,94.7%,3864,8440
ENG,Asian and Pacific Islander,7906,128,78.3%,3246,10102
JOHNSON,Asian and Pacific Islander,7800,129,0.4%,2,1857160
DAO,Asian and Pacific Islander,7605,130,93.2%,3994,8163
CHOU,Asian and Pacific Islander,7485,131,94.9%,4163,7885
HUSSAIN,Asian and Pacific Islander,7482,132,67.6%,2996,11070
PAN,Asian and Pacific Islander,7476,133,91.8%,4004,8143
AHN,Asian and Pacific Islander,7451,134,91.6%,4010,8130
CHAO,Asian and Pacific Islander,7444,135,86.2%,3769,8633
KWAN,Asian and Pacific Islander,7404,136,93.7%,4147,7906
QUACH,Asian and Pacific Islander,7359,137,96.5%,4305,7624
LOR,Asian and Pacific Islander,7328,138,90.9%,4053,8061
RAHMAN,Asian and Pacific Islander,7313,139,68.2%,3102,10719
FERNANDEZ,Asian and Pacific Islander,7202,140,5.2%,178,139302
CHA,Asian and Pacific Islander,7174,141,93.2%,4258,7698
YAN,Asian and Pacific Islander,7145,142,89.1%,4091,8016
VUONG,Asian and Pacific Islander,6883,143,96.3%,4556,7148
CHIANG,Asian and Pacific Islander,6851,144,94.0%,4479,7290
LEONG,Asian and Pacific Islander,6818,145,85.6%,4119,7967
HE,Asian and Pacific Islander,6737,146,95.5%,4600,7057
FLORES,Asian and Pacific Islander,6721,147,2.1%,55,312615
FUNG,Asian and Pacific Islander,6672,148,88.7%,4367,7518
DONG,Asian and Pacific Islander,6628,149,90.5%,4458,7327
NAKAMURA,Asian and Pacific Islander,6613,150,84.6%,4203,7821
TO,Asian and Pacific Islander,6593,151,94.5%,4649,6979
CHOE,Asian and Pacific Islander,6591,152,95.2%,4682,6926
ONG,Asian and Pacific Islander,6571,153,86.8%,4343,7572
TANAKA,Asian and Pacific Islander,6538,154,82.9%,4160,7887
LOUIE,Asian and Pacific Islander,6517,155,80.7%,4046,8071
YUN,Asian and Pacific Islander,6515,156,94.1%,4680,6927
LOPEZ,Asian and Pacific Islander,6464,157,1.0%,21,621536
TU,Asian and Pacific Islander,6437,158,94.3%,4745,6826
YAMAMOTO,Asian and Pacific Islander,6351,159,83.0%,4289,7652
MATHEW,Asian and Pacific Islander,6317,160,67.8%,3509,9311
DEGUZMAN,Asian and Pacific Islander,6291,161,84.0%,4385,7487
YUEN,Asian and Pacific Islander,6250,162,89.4%,4639,6990
MOON,Asian and Pacific Islander,6246,163,14.8%,748,42062
FANG,Asian and Pacific Islander,6237,164,91.8%,4771,6791
YEUNG,Asian and Pacific Islander,6203,165,96.0%,4984,6464
KUO,Asian and Pacific Islander,6177,166,94.0%,4914,6570
RIVERA,Asian and Pacific Islander,6169,167,2.1%,59,299463
SON,Asian and Pacific Islander,6164,168,78.6%,4189,7843
RAO,Asian and Pacific Islander,6083,169,72.2%,3872,8423
GONZALES,Asian and Pacific Islander,6012,170,3.1%,110,193934
AHMAD,Asian and Pacific Islander,5945,171,52.2%,2889,11395
MOY,Asian and Pacific Islander,5925,172,69.5%,3827,8523
GUO,Asian and Pacific Islander,5912,173,97.6%,5287,6058
PANG,Asian and Pacific Islander,5863,174,88.5%,4865,6627
SO,Asian and Pacific Islander,5773,175,92.7%,5166,6227
YEH,Asian and Pacific Islander,5773,175,93.8%,5214,6153
PEREZ,Asian and Pacific Islander,5765,177,1.2%,29,488521
AQUINO,Asian and Pacific Islander,5758,178,31.2%,1781,18472
GILL,Asian and Pacific Islander,5736,179,8.3%,430,68699
REDDY,Asian and Pacific Islander,5724,180,57.8%,3312,9911
TSANG,Asian and Pacific Islander,5677,181,95.5%,5392,5943
WILLIAMS,Asian and Pacific Islander,5676,182,0.4%,3,1534042
BROWN,Asian and Pacific Islander,5659,183,0.4%,4,1380145
WEI,Asian and Pacific Islander,5631,184,93.3%,5310,6037
GEORGE,Asian and Pacific Islander,5594,185,4.7%,227,119778
SATO,Asian and Pacific Islander,5591,186,81.5%,4726,6864
VILLANUEVA,Asian and Pacific Islander,5580,187,12.5%,703,44570
FENG,Asian and Pacific Islander,5566,188,96.0%,5512,5797
TA,Asian and Pacific Islander,5565,189,95.5%,5487,5829
SAECHAO,Asian and Pacific Islander,5541,190,91.7%,5304,6043
LIAO,Asian and Pacific Islander,5537,191,95.9%,5534,5771
JOSEPH,Asian and Pacific Islander,5530,192,6.9%,356,80030
MALIK,Asian and Pacific Islander,5470,193,52.7%,3172,10376
LUM,Asian and Pacific Islander,5461,194,67.6%,4042,8074
DELEON,Asian and Pacific Islander,5438,195,8.3%,460,65598
CASTILLO,Asian and Pacific Islander,5394,196,3.3%,135,165473
TOM,Asian and Pacific Islander,5358,197,55.6%,3405,9629
JAIN,Asian and Pacific Islander,5349,198,89.2%,5348,5996
LEW,Asian and Pacific Islander,5336,199,73.1%,4464,7304
JANG,Asian and Pacific Islander,5316,200,92.0%,5531,5776
HUNG,Asian and Pacific Islander,5309,201,86.0%,5199,6173
FU,Asian and Pacific Islander,5294,202,94.1%,5658,5624
WATANABE,Asian and Pacific Islander,5284,203,83.9%,5115,6295
FAN,Asian and Pacific Islander,5275,204,92.5%,5587,5701
AU,Asian and Pacific Islander,5238,205,84.8%,5195,6177
HSIEH,Asian and Pacific Islander,5227,206,95.1%,5774,5494
AMIN,Asian and Pacific Islander,5204,207,68.5%,4327,7601
GAO,Asian and Pacific Islander,5204,207,96.3%,5866,5405
YIP,Asian and Pacific Islander,5197,209,93.8%,5730,5542
PHUNG,Asian and Pacific Islander,5191,210,96.4%,5882,5387
CHING,Asian and Pacific Islander,5189,211,75.0%,4683,6919
YUAN,Asian and Pacific Islander,5170,212,95.8%,5877,5394
SUNG,Asian and Pacific Islander,5150,213,94.7%,5820,5439
TSE,Asian and Pacific Islander,5144,214,94.8%,5837,5429
SUH,Asian and Pacific Islander,5124,215,95.0%,5878,5391
LUI,Asian and Pacific Islander,5105,216,90.8%,5662,5620
CASTRO,Asian and Pacific Islander,5104,217,3.8%,194,133254
PENG,Asian and Pacific Islander,5058,218,78.3%,4989,6460
CHI,Asian and Pacific Islander,5025,219,87.6%,5561,5735
GEE,Asian and Pacific Islander,5020,220,21.1%,1363,23826
YIM,Asian and Pacific Islander,5019,221,92.5%,5841,5426
JIN,Asian and Pacific Islander,4999,222,96.4%,6100,5186
AN,Asian and Pacific Islander,4996,223,91.9%,5831,5435
HUA,Asian and Pacific Islander,4991,224,94.5%,6005,5280
KAO,Asian and Pacific Islander,4990,225,93.9%,5963,5316
ABRAHAM,Asian and Pacific Islander,4955,226,19.3%,1250,25729
VAN,Asian and Pacific Islander,4943,227,39.4%,2653,12531
HUI,Asian and Pacific Islander,4886,228,92.5%,6003,5282
JOSHI,Asian and Pacific Islander,4855,229,88.6%,5781,5478
KWONG,Asian and Pacific Islander,4844,230,96.2%,6246,5037
LUO,Asian and Pacific Islander,4843,231,97.1%,6291,4990
PRASAD,Asian and Pacific Islander,4788,232,77.1%,5172,6212
MARTIN,Asian and Pacific Islander,4776,233,0.7%,17,672711
JONES,Asian and Pacific Islander,4770,234,0.4%,5,1362755
CHOWDHURY,Asian and Pacific Islander,4766,235,82.7%,5539,5765
DOMINGO,Asian and Pacific Islander,4757,236,60.0%,4140,7922
MILLER,Asian and Pacific Islander,4737,237,0.4%,6,1127803
PARIKH,Asian and Pacific Islander,4721,238,92.3%,6170,5113
XIE,Asian and Pacific Islander,4698,239,97.6%,6505,4812
SHI,Asian and Pacific Islander,4688,240,95.9%,6415,4886
RODRIGUEZ,Asian and Pacific Islander,4665,241,0.6%,9,804240
MARTINEZ,Asian and Pacific Islander,4650,242,0.6%,11,775072
TORRES,Asian and Pacific Islander,4617,243,1.4%,50,325169
DIEP,Asian and Pacific Islander,4617,243,95.6%,6489,4827
YE,Asian and Pacific Islander,4602,245,96.2%,6535,4786
HERNANDEZ,Asian and Pacific Islander,4591,246,0.6%,15,706372
MIN,Asian and Pacific Islander,4566,247,90.8%,6254,5028
BEGUM,Asian and Pacific Islander,4560,248,84.8%,5897,5375
SUZUKI,Asian and Pacific Islander,4538,249,86.7%,6045,5233
HANG,Asian and Pacific Islander,4530,250,83.8%,5865,5406
ISLAM,Asian and Pacific Islander,4503,251,75.5%,5369,5967
SANCHEZ,Asian and Pacific Islander,4457,252,1.0%,33,441242
QUAN,Asian and Pacific Islander,4443,253,81.1%,5781,5478
LA,Asian and Pacific Islander,4441,254,90.8%,6408,4892
DU,Asian and Pacific Islander,4428,255,94.8%,6669,4670
KWOK,Asian and Pacific Islander,4412,256,94.8%,6698,4652
DAVIS,Asian and Pacific Islander,4289,257,0.4%,7,1072335
YAO,Asian and Pacific Islander,4266,258,92.9%,6765,4592
MEI,Asian and Pacific Islander,4260,259,88.9%,6526,4794
TAKAHASHI,Asian and Pacific Islander,4240,260,86.3%,6378,4913
SYED,Asian and Pacific Islander,4233,261,79.7%,5969,5310
YEN,Asian and Pacific Islander,4218,262,90.2%,6661,4676
LEI,Asian and Pacific Islander,4176,263,87.9%,6583,4749
VARGHESE,Asian and Pacific Islander,4155,264,92.9%,6922,4472
TSENG,Asian and Pacific Islander,4127,265,94.8%,7087,4352
CAI,Asian and Pacific Islander,4113,266,96.0%,7178,4286
CHOY,Asian and Pacific Islander,4110,267,80.3%,6166,5116
NAM,Asian and Pacific Islander,4093,268,92.8%,7005,4412
HOM,Asian and Pacific Islander,4076,269,81.3%,6262,5015
LAW,Asian and Pacific Islander,4070,270,13.2%,1037,30900
SIDDIQUI,Asian and Pacific Islander,4066,271,81.4%,6281,4994
DAVID,Asian and Pacific Islander,4059,272,10.5%,818,38659
SANTIAGO,Asian and Pacific Islander,4030,273,4.4%,302,90967
WAN,Asian and Pacific Islander,4028,274,87.5%,6747,4605
LING,Asian and Pacific Islander,4025,275,49.0%,3968,8221
JOHN,Asian and Pacific Islander,3983,276,14.4%,1161,27643
LONG,Asian and Pacific Islander,3978,277,1.8%,86,223494
YIN,Asian and Pacific Islander,3913,278,92.2%,7245,4246
TOLENTINO,Asian and Pacific Islander,3898,279,50.8%,4271,7679
SHIH,Asian and Pacific Islander,3898,279,94.8%,7464,4113
THACH,Asian and Pacific Islander,3897,281,83.7%,6688,4657
GONG,Asian and Pacific Islander,3883,282,78.2%,6317,4967
GANDHI,Asian and Pacific Islander,3867,283,91.7%,7292,4215
KING,Asian and Pacific Islander,3863,284,0.9%,35,438986
BAE,Asian and Pacific Islander,3852,285,95.3%,7590,4040
ITO,Asian and Pacific Islander,3786,286,85.7%,6998,4417
DENG,Asian and Pacific Islander,3775,287,91.6%,7444,4123
MATSUMOTO,Asian and Pacific Islander,3774,288,83.5%,6858,4520
RAMIREZ,Asian and Pacific Islander,3773,289,1.0%,42,388987
GUAN,Asian and Pacific Islander,3771,290,92.3%,7513,4087
SORIANO,Asian and Pacific Islander,3764,291,21.6%,1891,17418
DELROSARIO,Asian and Pacific Islander,3755,292,61.1%,5219,6147
MAO,Asian and Pacific Islander,3755,292,92.8%,7578,4047
YAMADA,Asian and Pacific Islander,3744,294,83.8%,6928,4466
DIZON,Asian and Pacific Islander,3720,295,84.4%,7012,4409
SEO,Asian and Pacific Islander,3707,296,94.3%,7806,3929
POON,Asian and Pacific Islander,3696,297,91.2%,7570,4051
SANDHU,Asian and Pacific Islander,3663,298,85.2%,7161,4298
ANDERSON,Asian and Pacific Islander,3659,299,0.5%,12,762394
MAK,Asian and Pacific Islander,3658,300,85.4%,7184,4283
LAO,Asian and Pacific Islander,3655,301,80.8%,6850,4523
WILSON,Asian and Pacific Islander,3602,302,0.5%,10,783051
IM,Asian and Pacific Islander,3589,303,93.9%,8007,3823
ZENG,Asian and Pacific Islander,3584,304,96.6%,8219,3711
TUNG,Asian and Pacific Islander,3541,305,91.0%,7891,3892
CHON,Asian and Pacific Islander,3523,306,91.3%,7958,3857
QURESHI,Asian and Pacific Islander,3505,307,78.4%,6921,4473
SHIM,Asian and Pacific Islander,3499,308,86.4%,7574,4048
KOO,Asian and Pacific Islander,3422,309,88.4%,7928,3870
CHEW,Asian and Pacific Islander,3403,310,40.0%,3831,8516
YOSHIDA,Asian and Pacific Islander,3386,311,82.6%,7497,4097
WEN,Asian and Pacific Islander,3383,312,92.6%,8331,3655
PASCUAL,Asian and Pacific Islander,3359,313,44.6%,4354,7536
JACOB,Asian and Pacific Islander,3346,314,15.7%,1541,21354
PERSAUD,Asian and Pacific Islander,3333,315,38.5%,3766,8649
UNG,Asian and Pacific Islander,3323,316,84.5%,7794,3933
VALDEZ,Asian and Pacific Islander,3313,317,3.4%,283,98610
FRANCISCO,Asian and Pacific Islander,3313,317,18.4%,1833,17976
KU,Asian and Pacific Islander,3305,319,88.0%,8131,3755
SAITO,Asian and Pacific Islander,3280,320,77.3%,7249,4243
BHATT,Asian and Pacific Islander,3274,321,90.7%,8410,3609
LOW,Asian and Pacific Islander,3255,322,28.4%,2873,11475
YUNG,Asian and Pacific Islander,3237,323,75.8%,7208,4272
KOBAYASHI,Asian and Pacific Islander,3236,324,85.8%,8097,3772
SIU,Asian and Pacific Islander,3235,325,85.6%,8084,3777
TAI,Asian and Pacific Islander,3229,326,86.5%,8171,3732
BHAKTA,Asian and Pacific Islander,3229,326,92.2%,8644,3502
CORPUZ,Asian and Pacific Islander,3214,328,79.6%,7596,4037
WON,Asian and Pacific Islander,3208,329,91.2%,8607,3518
RHEE,Asian and Pacific Islander,3195,330,92.3%,8733,3463
SIM,Asian and Pacific Islander,3186,331,64.8%,6376,4915
ALAM,Asian and Pacific Islander,3176,332,71.3%,6942,4455
DAS,Asian and Pacific Islander,3133,333,72.1%,7091,4348
MAN,Asian and Pacific Islander,3132,334,70.8%,6985,4425
KATO,Asian and Pacific Islander,3123,335,68.0%,6769,4591
MUI,Asian and Pacific Islander,3121,336,92.4%,8916,3376
TON,Asian and Pacific Islander,3104,337,84.0%,8246,3696
KIMURA,Asian and Pacific Islander,3096,338,82.9%,8165,3735
HIGA,Asian and Pacific Islander,3090,339,78.7%,7814,3925
SOK,Asian and Pacific Islander,3035,340,82.4%,8271,3684
NAVARRO,Asian and Pacific Islander,3033,341,4.1%,388,73970
CHAUDHRY,Asian and Pacific Islander,3031,342,82.5%,8289,3675
CHIEN,Asian and Pacific Islander,3028,343,93.5%,9257,3239
DIAZ,Asian and Pacific Islander,2996,344,1.2%,73,251772
YOU,Asian and Pacific Islander,2991,345,92.1%,9238,3246
MERCADO,Asian and Pacific Islander,2986,346,6.4%,674,46437
GUTIERREZ,Asian and Pacific Islander,2981,347,1.4%,96,212905
KWAK,Asian and Pacific Islander,2950,348,80.2%,8279,3678
GU,Asian and Pacific Islander,2947,349,95.1%,9629,3098
SAM,Asian and Pacific Islander,2940,350,30.6%,3413,9600
YAP,Asian and Pacific Islander,2917,351,81.0%,8424,3603
SIN,Asian and Pacific Islander,2904,352,87.1%,9011,3335
MOHAMMED,Asian and Pacific Islander,2901,353,30.3%,3419,9585
JUN,Asian and Pacific Islander,2888,354,92.2%,9516,3134
NAIR,Asian and Pacific Islander,2863,355,76.8%,8185,3728
RANA,Asian and Pacific Islander,2856,356,73.7%,7920,3875
THOMPSON,Asian and Pacific Islander,2835,357,0.4%,19,644368
TAYLOR,Asian and Pacific Islander,2809,358,0.4%,13,720370
CHEA,Asian and Pacific Islander,2797,359,82.2%,8850,3404
LIEU,Asian and Pacific Islander,2777,360,94.7%,10114,2933
ROY,Asian and Pacific Islander,2775,361,5.6%,621,49725
VONG,Asian and Pacific Islander,2774,362,89.5%,9625,3100
YONG,Asian and Pacific Islander,2762,363,78.1%,8578,3535
MIRANDA,Asian and Pacific Islander,2760,364,4.1%,437,67646
IQBAL,Asian and Pacific Islander,2758,365,78.6%,8629,3508
GOMEZ,Asian and Pacific Islander,2741,366,1.0%,68,263590
HOU,Asian and Pacific Islander,2735,367,92.5%,10049,2958
OSHIRO,Asian and Pacific Islander,2731,368,85.3%,9340,3202
XIAO,Asian and Pacific Islander,2728,369,98.6%,10626,2768
TAO,Asian and Pacific Islander,2726,370,92.0%,10031,2964
MEDINA,Asian and Pacific Islander,2717,371,1.9%,176,139353
SHAIKH,Asian and Pacific Islander,2713,372,82.9%,9163,3273
JEONG,Asian and Pacific Islander,2713,372,96.0%,10444,2826
MORALES,Asian and Pacific Islander,2699,374,1.2%,90,217642
TING,Asian and Pacific Islander,2697,375,88.4%,9782,3050
GO,Asian and Pacific Islander,2692,376,87.7%,9716,3068
CHUA,Asian and Pacific Islander,2649,377,91.2%,10193,2904
BHATIA,Asian and Pacific Islander,2637,378,89.6%,10093,2944
IGNACIO,Asian and Pacific Islander,2634,379,59.8%,7017,4405
SASAKI,Asian and Pacific Islander,2633,380,83.8%,9488,3142
PAUL,Asian and Pacific Islander,2623,381,3.6%,401,72248
OCAMPO,Asian and Pacific Islander,2619,382,15.1%,1903,17334
JAVIER,Asian and Pacific Islander,2619,382,39.7%,4891,6594
DHILLON,Asian and Pacific Islander,2619,382,85.4%,9716,3068
TSUI,Asian and Pacific Islander,2587,385,94.9%,10748,2725
MOORE,Asian and Pacific Islander,2585,386,0.4%,16,698671
HAYASHI,Asian and Pacific Islander,2585,386,82.8%,9550,3123
ZHONG,Asian and Pacific Islander,2551,388,98.3%,11200,2595
PASCUA,Asian and Pacific Islander,2542,389,75.4%,8926,3370
VERMA,Asian and Pacific Islander,2541,390,88.3%,10266,2877
KOH,Asian and Pacific Islander,2539,391,87.8%,10226,2893
MANUEL,Asian and Pacific Islander,2529,392,10.4%,1337,24227
VELASCO,Asian and Pacific Islander,2529,392,10.9%,1411,23114
YAU,Asian and Pacific Islander,2523,394,93.9%,10881,2686
MAR,Asian and Pacific Islander,2510,395,58.0%,7120,4327
FERNANDO,Asian and Pacific Islander,2497,396,58.1%,7161,4298
WHITE,Asian and Pacific Islander,2494,397,0.4%,20,639515
TENG,Asian and Pacific Islander,2487,398,93.6%,10984,2657
HOSSAIN,Asian and Pacific Islander,2478,399,84.5%,10118,2932
SHETH,Asian and Pacific Islander,2476,400,86.8%,10350,2851
DEJESUS,Asian and Pacific Islander,2465,401,7.8%,1002,31803
SHEIKH,Asian and Pacific Islander,2464,402,66.2%,8200,3724
LOO,Asian and Pacific Islander,2459,403,76.0%,9263,3237
KAM,Asian and Pacific Islander,2457,404,73.2%,8954,3358
DEVERA,Asian and Pacific Islander,2457,404,75.9%,9257,3239
DING,Asian and Pacific Islander,2456,406,90.5%,10794,2713
HASAN,Asian and Pacific Islander,2451,407,40.4%,5272,6074
TRIEU,Asian and Pacific Islander,2445,408,93.6%,11138,2613
ANGELES,Asian and Pacific Islander,2440,409,27.5%,3676,8873
DAI,Asian and Pacific Islander,2434,410,92.3%,11060,2636
DAVE,Asian and Pacific Islander,2426,411,60.4%,7630,4016
YAMAGUCHI,Asian and Pacific Islander,2425,412,84.3%,10273,2875
JIMENEZ,Asian and Pacific Islander,2409,413,1.5%,147,157475
KUNG,Asian and Pacific Islander,2406,414,88.2%,10740,2727
FERRER,Asian and Pacific Islander,2396,415,18.4%,2556,13010
ANTONIO,Asian and Pacific Islander,2387,416,23.2%,3200,10267
CHUANG,Asian and Pacific Islander,2369,417,95.6%,11621,2478
JOSE,Asian and Pacific Islander,2359,418,31.9%,4435,7389
BANG,Asian and Pacific Islander,2355,419,59.2%,7715,3977
GREWAL,Asian and Pacific Islander,2348,420,87.4%,10876,2687
ESPIRITU,Asian and Pacific Islander,2344,421,70.8%,9077,3310
